,STATE,ENERGY_SOURCE,YEAR,GENERATION,TOTAL_GEN,PERCENT_GEN
0,AK,Coal,1990,311960.0,4493024.0,0.06943207959717108
1,AK,Coal,1991,325914.0,4286431.0,0.07603388460003205
2,AK,Coal,1992,289529.0,4167054.0,0.06948050109261843
3,AK,Coal,1993,322564.0,4581047.0,0.07041272442740709
4,AK,Coal,1994,294615.0,4762116.0,0.06186640560624731
5,AK,Coal,1995,309232.0,4846922.0,0.06379966502452485
6,AK,Coal,1996,229129.0,4982268.0,0.04598889501728932
7,AK,Coal,1997,237165.0,5108003.0,0.04643008236291169
8,AK,Coal,1998,171053.0,4590270.0,0.03726425678663782
9,AK,Coal,1999,156188.0,4609315.0,0.03388529532045434
10,AK,Coal,2000,184901.0,4937687.0,0.03744688555592932
11,AK,Coal,2001,194008.0,5416191.0,0.03582000708616073
12,AK,Coal,2002,204490.0,5471990.0,0.037370316831719354
13,AK,Coal,2003,167555.0,5673462.0,0.029533113996357073
14,AK,Coal,2004,211075.0,5866420.0,0.0359802059859335
15,AK,Coal,2005,219320.0,5946148.0,0.03688438296524069
16,AK,Coal,2006,209952.0,6068520.0,0.034596903363587825
17,AK,Coal,2007,213648.0,6226211.0,0.03431428841714487
18,AK,Coal,2008,220360.0,6262148.0,0.03518920344904017
19,AK,Coal,2009,212944.0,6166762.0,0.034530925630014586
20,AK,Coal,2010,189477.0,6205050.0,0.030535934440496047
21,AK,Coal,2011,177939.74,6273843.96,0.028362155822568465
22,AK,Coal,2012,215310.0,6379926.0,0.03374804033777194
23,AK,Coal,2013,191063.84,5898110.89,0.03239407389303934
24,AK,Coal,2014,256654.95,5562303.55,0.046141845315148255
25,AK,Coal,2015,360351.0,5800990.0,0.062118879708463554
26,AK,Coal,2016,295148.0,5709849.0,0.05169103421123746
27,AK,Coal,2017,270981.0,5873253.0,0.046138145249319244
28,AK,Coal,2018,347268.0,5631414.0,0.061666217401171355
29,AK,Coal,2019,405504.0,5503417.0,0.07368222324421354
30,AK,Hydro,1990,974521.0,4493024.0,0.21689645993433376
31,AK,Hydro,1991,896113.0,4286431.0,0.20905807185511677
32,AK,Hydro,1992,918120.0,4167054.0,0.22032831827953273
33,AK,Hydro,1993,1302992.0,4581047.0,0.2844310481861461
34,AK,Hydro,1994,1345407.0,4762116.0,0.28252293728250216
35,AK,Hydro,1995,1372115.0,4846922.0,0.2830899692629673
36,AK,Hydro,1996,1265863.0,4982268.0,0.25407364678094396
37,AK,Hydro,1997,1098953.0,5108003.0,0.2151433740348234
38,AK,Hydro,1998,1113332.0,4590270.0,0.2425417241251604
39,AK,Hydro,1999,816608.0,4609315.0,0.17716471970347003
40,AK,Hydro,2000,1001819.0,4937687.0,0.20289236640556602
41,AK,Hydro,2001,1345665.0,5416191.0,0.24845227947094184
42,AK,Hydro,2002,1439351.0,5471990.0,0.2630397716370096
43,AK,Hydro,2003,1582536.0,5673462.0,0.27893656465840433
44,AK,Hydro,2004,1498020.0,5866420.0,0.2553550547011636
45,AK,Hydro,2005,1463942.0,5946148.0,0.24620006094701982
46,AK,Hydro,2006,1223607.0,6068520.0,0.20163186411184275
47,AK,Hydro,2007,1291223.0,6226211.0,0.2073850372240838
48,AK,Hydro,2008,1171801.0,6262148.0,0.1871244499491229
49,AK,Hydro,2009,1323744.0,6166762.0,0.21465787069453954
50,AK,Hydro,2010,1433141.0,6205050.0,0.23096365057493493
51,AK,Hydro,2011,1344745.75,6273843.96,0.2143415995956648
52,AK,Hydro,2012,1575045.0,6379926.0,0.246875120495128
53,AK,Hydro,2013,1435479.43,5898110.89,0.2433795255416095
54,AK,Hydro,2014,1538738.0,5562303.55,0.27663682612215584
55,AK,Hydro,2015,1568929.0,5800990.0,0.2704588354746345
56,AK,Hydro,2016,1491005.0,5709849.0,0.26112862179017343
57,AK,Hydro,2017,1461582.0,5873253.0,0.248853914517219
58,AK,Hydro,2018,1488603.0,5631414.0,0.2643391162503769
59,AK,Hydro,2019,1493024.0,5503417.0,0.2712903637867165
60,AK,Natural Gas,1990,2869638.0,4493024.0,0.6386874407971113
61,AK,Natural Gas,1991,2657316.0,4286431.0,0.6199367259148695
62,AK,Natural Gas,1992,2552417.0,4167054.0,0.6125231398489196
63,AK,Natural Gas,1993,2496949.0,4581047.0,0.5450607688591713
64,AK,Natural Gas,1994,2680897.0,4762116.0,0.5629633969437116
65,AK,Natural Gas,1995,2678935.0,4846922.0,0.5527085024269011
66,AK,Natural Gas,1996,2843998.0,4982268.0,0.5708239701276607
67,AK,Natural Gas,1997,3031164.0,5108003.0,0.5934146867180775
68,AK,Natural Gas,1998,2548971.0,4590270.0,0.555298707919142
69,AK,Natural Gas,1999,2838480.0,4609315.0,0.6158138465260022
70,AK,Natural Gas,2000,3193954.0,4937687.0,0.6468522609877864
71,AK,Natural Gas,2001,3027807.0,5416191.0,0.5590288451792044
72,AK,Natural Gas,2002,2952996.0,5471990.0,0.5396566879690935
73,AK,Natural Gas,2003,3147997.0,5673462.0,0.5548635030956407
74,AK,Natural Gas,2004,3475477.0,5866420.0,0.5924357615036087
75,AK,Natural Gas,2005,3576738.0,5946148.0,0.6015218591935485
76,AK,Natural Gas,2006,3939921.0,6068520.0,0.6492391884676989
77,AK,Natural Gas,2007,3788325.0,6226211.0,0.6084478987300623
78,AK,Natural Gas,2008,3942237.0,6262148.0,0.6295343067586394
79,AK,Natural Gas,2009,3518554.0,6166762.0,0.5705675036591327
80,AK,Natural Gas,2010,3684809.0,6205050.0,0.5938403397232899
81,AK,Natural Gas,2011,3846484.04,6273843.96,0.6130984551933294
82,AK,Natural Gas,2012,3566219.0,6379926.0,0.5589749787066496
83,AK,Natural Gas,2013,3356112.7,5898110.89,0.5690148528217991
84,AK,Natural Gas,2014,3218790.74,5562303.55,0.5786794465756908
85,AK,Natural Gas,2015,3019411.0,5800990.0,0.5204992596091357
86,AK,Natural Gas,2016,2976677.0,5709849.0,0.5213232433992563
87,AK,Natural Gas,2017,3170144.0,5873253.0,0.5397594825218665
88,AK,Natural Gas,2018,2882912.0,5631414.0,0.5119339476728225
89,AK,Natural Gas,2019,2618766.0,5503417.0,0.47584364404877916
90,AK,Oil,1990,336905.0,4493024.0,0.0749840196713839
91,AK,Oil,1991,407088.0,4286431.0,0.09497131762998168
92,AK,Oil,1992,406988.0,4167054.0,0.0976680407789292
93,AK,Oil,1993,458542.0,4581047.0,0.10009545852727553
94,AK,Oil,1994,441197.0,4762116.0,0.09264726016753896
95,AK,Oil,1995,486640.0,4846922.0,0.10040186328560682
96,AK,Oil,1996,643278.0,4982268.0,0.129113488074106
97,AK,Oil,1997,740721.0,5108003.0,0.1450118568841874
98,AK,Oil,1998,756914.0,4590270.0,0.16489531116905978
99,AK,Oil,1999,798039.0,4609315.0,0.1731361384500734
100,AK,Oil,2000,557013.0,4937687.0,0.11280848705071828
101,AK,Oil,2001,847761.0,5416191.0,0.15652346824548838
102,AK,Oil,2002,875153.0,5471990.0,0.15993322356217757
103,AK,Oil,2003,775374.0,5673462.0,0.13666681824959787
104,AK,Oil,2004,681848.0,5866420.0,0.11622897780929425
105,AK,Oil,2005,685559.0,5946148.0,0.11529464116937553
106,AK,Oil,2006,694252.0,6068520.0,0.11440219361557678
107,AK,Oil,2007,932003.0,6226211.0,0.1496902369675554
108,AK,Oil,2008,927681.0,6262148.0,0.14814102125979775
109,AK,Oil,2009,1104493.0,6166762.0,0.17910420411879038
110,AK,Oil,2010,885016.0,6205050.0,0.14262834304316646
111,AK,Oil,2011,892228.44,6273843.96,0.1422139992146059
112,AK,Oil,2012,985960.0,6379926.0,0.15454097743453452
113,AK,Oil,2013,770422.93,5898110.89,0.13062198123575802
114,AK,Oil,2014,398475.87,5562303.55,0.07163864151211237
115,AK,Oil,2015,695012.0,5800990.0,0.11980920498052919
116,AK,Oil,2016,780110.0,5709849.0,0.1366253293213183
117,AK,Oil,2017,831569.0,5873253.0,0.14158576175758136
118,AK,Oil,2018,760716.0,5631414.0,0.13508436779821195
119,AK,Oil,2019,847435.0,5503417.0,0.15398342520655803
120,AK,Other,2008,0.0,6262148.0,0.0
121,AK,Other,2009,0.0,6166762.0,0.0
122,AK,Other,2010,0.0,6205050.0,0.0
123,AK,Other,2011,0.0,6273843.96,0.0
124,AK,Other,2012,0.0,6379926.0,0.0
125,AK,Other,2013,-257.0,5898110.89,-4.357327367915933e-05
126,AK,Other,2014,-2313.0,5562303.55,-0.0004158349106999024
127,AK,Other,2015,-2407.0,5800990.0,-0.0004149291758820477
128,AK,Other,2016,-2392.0,5709849.0,-0.00041892526404813856
129,AK,Other,2017,-2711.0,5873253.0,-0.00046158406593415946
130,AK,Other,2018,-3100.0,5631414.0,-0.0005504834132244584
131,AK,Other,2019,-3902.0,5503417.0,-0.0007090140543593189
132,AK,Total,1990,4493024.0,4493024.0,1.0
133,AK,Total,1991,4286431.0,4286431.0,1.0
134,AK,Total,1992,4167054.0,4167054.0,1.0
135,AK,Total,1993,4581047.0,4581047.0,1.0
136,AK,Total,1994,4762116.0,4762116.0,1.0
137,AK,Total,1995,4846922.0,4846922.0,1.0
